,code,name,testimonials
0,587063,WOW Skin Science Red Onion Black Seed Oil Shampoo,"[{'link': 'https://www.youtube.com/watch?v=qGcEFzmAlcc', 'title': 'WOW Onion Black Seed Shampoo &amp; Conditioner Review || Wow Shampoo ||Honest Review After Using 20 Days', 'channel': 'Neelam Sarda', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/qGcEFzmAlcc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qGcEFzmAlcc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qGcEFzmAlcc/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=X6SDaL1XlUE', 'title': 'Wow skin science red onion shampoo | wow red onion shampoo | wow red onion black seed oil shampoo', 'channel': 'Glow With Shubham', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/X6SDaL1XlUE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/X6SDaL1XlUE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/X6SDaL1XlUE/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=JnzsV6XNbyg', 'title': 'Wow Skin Science Red  Onion  Black Seed Oil Shampoo || Review  In Tamil', 'channel': 'Glory Tamil Beauty tips', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JnzsV6XNbyg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JnzsV6XNbyg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JnzsV6XNbyg/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=JOXSCUxIInY', 'title': 'Wow Skin Science Onion Black Seed Hair Oil || Review Tamil', 'channel': 'Glory Tamil Beauty tips', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/JOXSCUxIInY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JOXSCUxIInY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JOXSCUxIInY/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=ncy9t652_x4', 'title': 'WOW Onion Black Seed Hair Shampoo | Oil | Conditioner | Honest Review | Live Result | jaya malik', 'channel': 'Jaya Malik', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/ncy9t652_x4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ncy9t652_x4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ncy9t652_x4/hqdefault.jpg', 'width': 480, 'height': 360}}}]"
1,457011,Lakme Blush & Glow Kiwi Gel Face Wash 100% Real Kiwi Extract(50gm),"[{'link': 'https://www.youtube.com/watch?v=U1gx7hcthvM', 'title': 'Lakme blush and Glow strawberry blast face wash full review 🙄', 'channel': 'Li Nu', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/U1gx7hcthvM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/U1gx7hcthvM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/U1gx7hcthvM/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=olH_zt9-D04', 'title': 'পৃথিবীর সবচাইতে শেরা Facewash | Lakme Blush &amp; Glow Strawberry Facewash', 'channel': 'R TEK', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/olH_zt9-D04/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/olH_zt9-D04/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/olH_zt9-D04/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=XuYYK3EgAFo', 'title': 'Lakme Blush &amp;Glow Strawberry Blast Face Wash Review in Hindi', 'channel': 'Indian Lifestyle By Antima', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/XuYYK3EgAFo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XuYYK3EgAFo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XuYYK3EgAFo/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=AeGfCwItR3c', 'title': 'Lakme blush n glow lemon face wash vs Himalaya herbals fresh start oil clear lemon  face wash', 'channel': 'RARA', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/AeGfCwItR3c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AeGfCwItR3c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AeGfCwItR3c/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=6xU9VQxnayM', 'title': 'JOY SKIN FRUITS BRIGHTENING LEMON FACE WASH REVIEW + DEMO', 'channel': 'Vlogs & Hauls', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/6xU9VQxnayM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6xU9VQxnayM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6xU9VQxnayM/hqdefault.jpg', 'width': 480, 'height': 360}}}]"
2,7681,Tresemme Hair Fall Defense Shampoo(1000ml),"[{'link': 'https://www.youtube.com/watch?v=t_B7bFisBec', 'title': 'Tresemme Shampoo Review | Best Shampoo to use after heavy hair oiling | Dry &amp; Damaged Hair', 'channel': 'Chitranshi', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/t_B7bFisBec/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/t_B7bFisBec/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/t_B7bFisBec/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=22DotEBwFdk', 'title': 'OMG I Used New Tresemme Keratine Smooth Shampoo For 21 Days | How Is Tresemme Shampoo | Shinny Roops', 'channel': 'Shinny Roops', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/22DotEBwFdk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/22DotEBwFdk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/22DotEBwFdk/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=YFvnQBnMSB4', 'title': 'Tresemme Keratin Smooth V/S Patene Hairfall Solution | 100% Honest Reviews', 'channel': 'Mubashira Nazakat', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/YFvnQBnMSB4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YFvnQBnMSB4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YFvnQBnMSB4/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=5cjnL6sVfGw', 'title': 'MY FAVOURITE SHAMPOO &amp; CONDITIONER💕 | Herbal Shampoo for Hair Growth ? | Preity प्रेरणा', 'channel': 'Preity प्रेरणा', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/5cjnL6sVfGw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5cjnL6sVfGw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5cjnL6sVfGw/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=dYTvO_GVPDE', 'title': '10 Best Shampoo for Dandruff, Hair fall, Dry &amp; Damage hair With price | Best Shampoo for Men &amp; Women', 'channel': 'sjuniverse', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/dYTvO_GVPDE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dYTvO_GVPDE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dYTvO_GVPDE/hqdefault.jpg', 'width': 480, 'height': 360}}}]"
3,1017250,Cetaphil Gentle Cleansing & Moisturizing Combo,"[{'link': 'https://www.youtube.com/watch?v=mMRtkcD_Ehs', 'title': 'Cetaphil Gentle Skin Cleanser | 3 in 1 Product Cetaphil Facewash  | 3 ways to use Cetaphil Facewash', 'channel': 'Chitranshi', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/mMRtkcD_Ehs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/mMRtkcD_Ehs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/mMRtkcD_Ehs/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=-7EvW3B1lt4', 'title': 'I TRIED CETAPHIL OILY SKIN CLEANSER &amp; MOISTURIZING LOTION FOR 4 MONTHS (JOURNEY) || USE &amp; REVIEW ||', 'channel': 'super makeup style', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/-7EvW3B1lt4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/-7EvW3B1lt4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/-7EvW3B1lt4/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=8Qa8eT3q8aQ', 'title': 'DOCTOR V Reviews Cetaphil | BROWN/DARK Skins| cleanser, moisturiser, lotion, cream| Dr V', 'channel': 'Dr. Vanita Rattan The Hyperpigmentation Clinic', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/8Qa8eT3q8aQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8Qa8eT3q8aQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8Qa8eT3q8aQ/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=NrMeXQ03NaE', 'title': 'I Tried The Cetaphil Gentle Skin Cleanser on my Combination Skin *Is It Any Good? Review *Shatabdi', 'channel': 'makeupbypiya', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/NrMeXQ03NaE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NrMeXQ03NaE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NrMeXQ03NaE/hqdefault.jpg', 'width': 480, 'height': 360}}}, {'link': 'https://www.youtube.com/watch?v=DTDTPJb-vN4', 'title': 'I Used Cetaphil Skincare For One Week!', 'channel': 'Audrey Victoria', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/DTDTPJb-vN4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/DTDTPJb-vN4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/DTDTPJb-vN4/hqdefault.jpg', 'width': 480, 'height': 360}}}]"
